Time,pRNA,mRNA,caRNA,Sec_RNA,Virus_FFU,AE_FFU
0.125,12.8,0.01,12.54331152,,,
0.25,1,0.1,0.54965787,,,
0.375,1.4,1.4,0.712763936,,,
0.5,3,2.5,2.881539579,0.2,,0.000309868
0.75,18.9,8.9,17.83153445,0.45,0.000707152,0.00381887
1,404.5,37.4,369.3537811,1.5,0.016470263,0.058019707
1.5,868.5,28.4,767.5858113,5.9,0.041867136,0.253001589
2,2275.6,70.5,2021.656733,11.3,0.071001041,0.458998841
3,2555.6,50,2263.027332,36.3,0.031011852,0.200481626
4,1247.4,16.6,1079.660527,121.9,0.006384693,0.079230066
5,1053.4,10.4,734.8609153,232.2,0.005222132,0.054134345
